category,food,drink_pairing,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
cheese,hard blue cheese,spicy malty whiskies,,1,,,1,,,,,,,,,
cheese,salty cheddar cheese,aged scotch with honey and vanilla notes,1,1,,1,,,,,,,,,,
cheese,creamy cow cheese,light smooth fragrant whiskies,,,,,,1,,,,,,,,
cheese,classic goat cheese,medium bodied whiskies matured in oak and sherry casks,,,,1,,,,,,,,,,
cheese,smoked cheese,peaty whiskies,,,,,,,,1,1,,,,,
dessert,apple pie,light and fragrant whiskies,,,,,,1,1,,,,,,,
dessert,peacan pie,high rye content and spicy herbals,,,,,,,,1,1,,,,1,1
dessert,pumpkin pie,high rye content and spicy herbals,,,,,,,,1,1,,,,1,1
dessert,all crumbles,caramel and honey flavoured drinks,1,1,,1,,1,,,,,,,,
dessert,"chocolate pies, brownies, crumbles",full bodied aged whiskies,1,1,1,,1,,,,1,,,,,
dessert,dark chocolate,scotch,1,1,1,,1,,,,1,,,,,
dessert,dark orange flavoured chocolate,scotch,1,1,1,,1,,,,1,,,,,
dessert,rich chocolate,malty drinks with peat smoke,,,,,,,,1,1,,,,,
meat,grilled steaks rich in fat content,medium bodied or rich whiskies with smoky flavour,,,,,,,,1,1,,,,,
meat,lean meat,sweet bourbon,,,,,,,,,,1,1,,,
meat,meatloaf,peaty whiskies,,,,,,,,1,1,,,,,
nuts,sweeter nuts,peaty whiskies,,,,,,,,1,1,,,,,
nuts,bitter nuts,sweet whiskies,1,1,1,,1,,1,,,,,,,
meat,duck breast,peated scotch,,,,,,,,1,1,,,,,
meat,glazed chicken,low rye bourbon,,,,,,,,,,,1,,,
meat,barbecued chicken,classic bourbon,,,,,,,,,,,,1,,
seafood,smoked salmon,"rye whisky, unpeated and lightly malted whisky",,,,,,,1,,,,,,1,1
seafood,mackerel,medium bodied whiskies,,,,1,,,,,,,,,,
seafood,crab,light and fragrant whiskies,,,,,,1,1,,,,,,1,1
seafood,mussels,light and fragrant whiskies,,,,,,1,1,,,,,,1,1
spicy,spicy meals,light whiskies,,,,,,1,1,,,,,,,
sushi,sushi,light and fragrant whiskies,,,,,,1,1,,,,,,,
sushi,sushi nigiri,rye whisky,,,,,,,,,,,,,1,1
tandoori,"tandoor cooked meat, fish, seafood",peated islay whiskies,,,,,,,,1,1,,,,,
vegetables,pickled vegetables,classic bourbon,,,,,,,,,,,,1,,
